,Country,Year,Life expectancy,Children out of primary school,Deaths(HIV/AIDS),Incidence(HIV/AIDS),Prevalence(HIV/AIDS),Disability-Adjusted Life Years,Maternal mortality,Child mortality
0,AFG,1993,52.256,1979198,58.43304929835086,128.605342962,66.88698325220001,88234.35967522294,1320.0,15.96
1,ALB,1999,73.587,8857,1.48162181453069,2.8854124271,2.7820365454200005,29065.91093374565,42.0,2.74
2,ALB,2000,73.955,12550,1.579072561082938,2.53015250962,2.58495592492,29406.931544990905,43.0,2.6
3,ALB,2001,74.288,16338,1.646260234316251,2.53551706851,2.61024051896,28215.2300366394,40.0,2.4800000000000004
4,ALB,2003,74.828,20987,1.746323435308027,2.72324494837,2.7228675860700005,27543.537496068144,35.0,2.24
5,ALB,2004,75.039,22233,1.7858249127292636,2.80499081171,2.7715466881400004,27187.8703766891,31.0,2.14
6,ALB,2008,75.912,23142,1.8613137213600472,2.52346248151,2.7251435235500003,25247.43335076217,30.0,1.79
7,ALB,2009,76.221,32820,1.8737954200891795,2.42975195792,2.6996785837200004,24604.58284839045,30.0,1.72
8,ALB,2010,76.562,29727,1.79020221555875,2.3999301523,2.6874085243700003,24260.881840559512,30.0,1.66
9,ALB,2011,76.914,24907,1.6563863276370996,2.42927401284,2.69957834198,24029.907267916235,30.0,1.6
10,ALB,2012,77.252,16471,1.5642959693140186,2.48080600996,2.73723307496,23802.249947941807,30.0,1.54
11,ALB,2013,77.554,9113,1.5279474356020517,2.56398632709,2.80224028233,23583.98869685553,29.0,1.4900000000000002
12,ALB,2014,77.813,4527,1.4717337827923005,2.65128112335,2.8732299916,23497.477076697563,29.0,1.4400000000000002
13,ALB,2015,78.025,3929,1.4821888120656113,2.75406198514,2.96257613664,23329.70849467236,29.0,1.4
14,DZA,1990,66.938,614621,47.620097873321626,134.367685972,60.4053035897,35991.605511778005,216.0,4.9
15,DZA,1991,67.27,549637,53.95139208116177,152.188959693,68.5692278006,35134.175887476544,210.0,4.760000000000001
16,DZA,1992,67.575,510013,60.97428412213861,173.141640065,78.2783469854,34538.39458243118,205.0,4.65
17,DZA,1993,67.877,539814,68.96705371347856,197.007278379,89.43710626890001,34046.36278398014,201.0,4.55
18,DZA,1994,68.194,548351,77.78676866999263,223.431028287,101.888490264,33996.24319802396,196.0,4.44
19,DZA,1995,68.54,541872,87.73940097653339,252.004955758,115.48187269,33671.86304715145,192.0,4.33
20,DZA,1996,68.919,565833,98.85195046024184,285.790089429,131.09616370900002,32826.868364429814,189.0,4.23
21,DZA,1997,69.323,592222,111.16283599802247,326.846716044,149.659339054,33136.539159642234,184.0,4.15
22,DZA,1999,70.183,462619,141.01951918079234,420.223337935,194.149351155,31783.905327381297,174.0,4.03
23,DZA,2000,70.64,426108,159.32297166841263,467.911693781,219.191967923,31611.745515852792,170.0,3.9700000000000006
24,DZA,2001,71.116,329083,180.3037684818057,517.156331453,249.500160327,31018.88872775113,164.0,3.89
25,DZA,2002,71.605,272111,203.5358509385672,570.486662188,286.843202464,30440.147796970617,158.0,3.78
26,DZA,2003,72.101,245671,229.15778582628735,626.533202931,327.38080601800004,30212.429388680703,153.0,3.65
27,DZA,2004,72.594,207294,257.692251358741,683.755445605,366.71194409,29328.885912761183,150.0,3.51
28,DZA,2005,73.072,186567,289.73972567793794,740.609561662,399.83269315,28867.146615210957,148.0,3.35
29,DZA,2006,73.521,169018,312.72146556652893,806.669152962,437.630271859,28473.31865491705,147.0,3.2100000000000004
