country,year,gov_exp_pre_primary (% of GDP),gov_exp_primary (% of GDP),gov_exp_secondary (% of GDP),gov_exp_tertiary (% of GDP),gov_exp_pre_primary (US $ millions),gov_exp_primary (US $ millions),gov_exp_secondary (US $ millions),gov_exp_tertiary (US $ millions),gov_exp_all_levels (US $ millions),all_staff_compensation_primary,capital_exp_primary,oecd,gdp,population,gov_exp_primary_per_person (US dollars)
AFG,2010,0.0,2.16201,0.9288,0.31427,0.0,342.82052,147.27517,49.83245,551.72194,75.46723,17.33474,0,15856678596.148,29185512.0,11.746256841408162
AFG,2011,0.0,2.14557,0.92174,0.3111,0.0,382.00443,164.10852,55.38973,616.38566,77.44066,15.89061,0,17805113118.8938,30117412.0,12.68383983324995
AFG,2012,0.0,1.53942,0.66133,0.33182,0.0,307.90921,132.27733,66.3693,520.88233,81.17335,10.73619,0,19907317065.6666,31161378.0,9.881116618141855
AFG,2013,0.0,2.07295,0.89054,0.40614,0.0,426.22167,183.10417,83.50579,710.27469,76.45152,15.89241,0,20146404996.223,32269592.0,13.208151810534202
AFG,2014,0.0,2.18412,0.93829,0.45862,0.0,447.41375,192.20826,93.94871,756.96205,76.98077,16.41255,0,20497126770.1335,33370804.0,13.40734103979035
AFG,2015,0.0,1.84589,0.79299,0.51942,0.0,367.46377,157.86188,103.40219,648.13575,78.34911,15.47903,0,19134211763.859,34413604.0,10.67786361463333
AFG,2016,0.0,1.83096,0.92321,0.39022833333333334,0.0,354.52316,178.75878,75.40802833333333,818.72146,80.33723,13.65433,0,18116562464.9088,35383028.0,10.019582269782
AFG,2017,0.0,1.79364,0.90325,0.39022833333333334,0.0,362.16755,182.38186,75.40802833333333,819.55782,81.34027,11.359,0,18753469630.2586,36296110.0,9.978136225720265
AND,2010,0.43487,0.86011,0.62315,0.11494,15.00276,29.67335,21.49835,3.96527,102.69286,45.43353,2.22619,0,3449966856.68832,84454.0,351.3551755985507
AND,2011,0.43197,0.86053,0.63803,0.11472,15.67712,31.23054,23.15545,4.16342,108.40643,45.91424,1.41761,0,3629203786.19154,83748.0,372.91087548359366
AND,2013,0.45619,0.80558,0.88335,0.115,14.5694,25.72771,28.21173,3.67291,80.03936,54.77995,0.88062,0,3193704343.20627,80770.0,318.53051875696417
AND,2014,0.42461,0.68524,0.63041,0.18677,13.89234,22.41963,20.62573,6.11091,100.58216,62.15858,1.74115,0,3271808157.30038,79213.0,283.0296794718039
AND,2015,0.43233,0.72416,0.81725,0.17959,12.06139,20.20312,22.80015,5.0104,91.51744,57.99067,2.14985,0,2789870187.50693,77993.0,259.0376059389945
AND,2016,0.4114,0.69609,0.77593,0.19083,11.91705,20.16358,22.47632,5.52779,93.76756,59.52773,1.43756,0,2896679211.86628,77295.0,260.86525648489555
AND,2017,0.38322,0.7093,0.79669,0.18258,11.4973,21.28038,23.90225,5.47758,96.51866,59.71604,1.13272,0,3000180750.11297,76997.0,276.379339454784
AND,2018,0.3859,0.69546,0.82164,0.18315,12.41961,22.38212,26.44299,5.89433,104.48977,59.01326,0.84594,0,3218316013.22626,77008.0,290.64668605859134
AND,2019,0.37271,0.67913,0.79956,0.13299,11.75549,21.42019,25.21855,4.19471,99.4038,58.6631,1.21345,0,3155065487.51819,77146.0,277.6578176444664
ARG,2010,0.37332,1.65926,1.99031,0.99682,1581.47552,7029.0937,8431.51864,4222.79216,21264.88002,85.35587,5.08141,0,423627422092.49,40788452.0,172.3304846185386
ARG,2011,0.42995,1.69134,2.14122,1.02811,2279.4582,8966.87823,11351.94719,5450.68426,28048.96788,86.53055,5.25338,0,530163281574.658,41261490.0,217.31834368164328
ARG,2012,0.41816,1.69991,2.16177,1.06599,2283.05562,9281.22164,11802.86944,5820.13867,29187.28552,88.59946,4.08045,0,545982375701.128,41733270.0,222.39381661711067
ARG,2013,0.44611,1.63274,2.25767,1.10008,2462.64623,9013.13548,12462.93002,6072.71655,30011.42828,88.55899,3.86483,0,552025140252.246,42202936.0,213.56655091484632
ARG,2014,0.43204,1.61167,2.22378,1.09395,2273.8937,8482.54125,11704.21136,5757.69169,28218.33751,88.76955,4.81897,0,526319673731.638,42669500.0,198.79635922614514
ARG,2015,0.4673,1.73522,2.38742,1.18616,2779.26976,10320.21764,14199.18716,7054.70725,34353.38171,82.56893,11.27255,0,594749285413.212,43131970.0,239.27073394842546
ARG,2016,0.47815,1.66775,2.27011,1.12948,2665.81936,9298.23808,12656.56425,6297.21676,30917.83822,81.8568,11.31794,0,557531376217.967,43590370.0,213.30946506347456
ARG,2017,0.47989,1.61653,2.15973,1.20608,3084.25842,10389.34103,13880.52459,7751.42618,35105.55042,81.69378,11.63916,0,643628665302.155,44044812.0,235.88115281318488
ARM,2011,0.28306,0.537712,1.320286,0.355,28.70808,58.434216000000006,146.029322,36.00452,318.85246,31.032,0.0,0,10142111334.4961,2876536.0,20.3140916713714
ARM,2012,0.28092,0.51784,1.40429,0.26317,29.83197,54.9913,149.12618,27.94659,294.41827,41.94988,0.0,0,10619320048.5857,2884239.0,19.066138416407238
ARM,2013,0.2903,0.53297,1.29543,0.27344,32.28568,59.27427,144.07129,30.41058,294.7388,31.032,0.0,0,11121465767.4067,2897593.0,20.456382245539658
ARM,2014,0.30628666666666665,0.537712,1.22389,0.30613,32.958615,58.434216000000006,142.08794,35.54053,260.89353,31.032,0.0,0,11609512939.7542,2912403.0,20.063918351958847
ARM,2015,0.33001,0.5432,1.320286,0.35604,34.8268,57.32614,146.029322,37.57413,296.11674,31.032,0.0,0,10553337672.9872,2925559.0,19.594935531978678
ARM,2016,0.3286,0.56999,1.40869,0.36363,34.65438,60.11148,148.56234,38.34901,290.87508,20.11412,0.0,0,10546135160.031,2936147.0,20.472912289473246
ARM,2017,0.32483,0.52456,1.26913,0.35178,37.44478,60.46789,146.29886,40.55148,312.11636,31.032,0.0,0,11527458565.7334,2944789.0,20.533861679054084
ABW,2012,0.36643,1.59322,2.0498,1.35716,9.28759,40.38238,51.95495,34.39908,165.99487,95.52568,0.0,0,2534636871.50838,102565.0,393.7247599083508
ABW,2013,0.35424,1.57674,2.04735,1.40989,9.57044,42.59836,55.31264,38.09069,175.75436,95.92065,0.0,0,2727849720.67039,103165.0,412.91484515097176
ABW,2014,0.34363,1.54815,2.0332,1.18231,9.50275,42.81187,56.22549,32.69527,163.30051,95.65352,0.0,0,2790849162.01117,103776.0,412.5411463151403
ABW,2015,0.30811,1.42467,1.83316,1.4998,8.99554,41.59405,53.52016,43.78754,174.46398,95.39723,0.0,0,2962905027.93296,104339.0,398.64336441790704
