country,year,adj_enrollment,out_school_percentage,out_school,first_grade_percentage,overage_percentage,grade_5_percentage,last_grade,completion_rate,pupils,repeater_percentage,enrollment_gross_percentage,enrollment_net_percentage
ABW,2000,98.24184,1.60267996788025,134.0,106.07735,11.25985,95.9051818847656,95.8686218261719,97.1428604125977,9263.0,7.58933,110.788177490234,98.08635
ABW,2001,96.62665,0.322580009698868,28.0,,12.57948,95.3323211669922,94.0486831665039,94.4040679931641,9436.0,8.29801,109.440963745117,94.53929
ABW,2002,95.40839,1.81633996963501,161.0,,14.0752,94.8461303710938,93.8632736206055,94.755241394043,9840.0,7.92683,111.010833740234,95.31814
ABW,2003,93.97484,3.32155990600586,301.0,100.33333,13.95372,94.9200897216797,94.2741012573242,90.2159194946289,9897.0,8.96231,109.214302062988,93.9307
ABW,2004,94.77636,2.17652010917664,200.0,101.67673,14.54099,93.99658203125,93.6596832275391,90.5598983764648,10185.0,8.52234,110.839050292969,94.63489
ABW,2005,97.97892,1.64076995849609,151.0,101.0218,12.11707,94.9393310546875,94.4029388427734,88.1979675292969,10250.0,9.30732,111.37671661377,97.80506
ABW,2006,98.6602,0.96917998790741,88.0,103.34962,12.84889,94.3852996826172,93.385856628418,93.1861190795898,10390.0,8.77852,114.251152038574,98.6384
ABW,2007,98.91579,0.812430024147034,73.0,105.29287,11.98531,88.1978912353516,86.4870300292969,95.5882415771484,10346.0,8.42838,115.211578369141,98.86144
ABW,2008,99.10333,0.469060003757477,42.0,105.28194,12.03556,93.0412292480469,91.4133224487305,95.1330337524414,10012.0,7.44107,113.091613769531,99.05832
ABW,2009,96.0174,3.34173011779785,292.0,102.08934,9.33226,93.4448394775391,93.1188812255859,96.2425765991211,9944.0,6.95897,113.801788330078,95.89151
ABW,2010,98.91975,0.909619987010956,79.0,101.15607,11.69608,,,94.7861022949219,9858.0,7.4059,113.794296264648,98.91975
ABW,2011,,,,,,,,,9112.0,,105.255859375,
ABW,2012,,,,,,,,,8888.0,,104.087127685547,
ABW,2013,,,,108.35777,11.45568,96.0028076171875,95.9405975341797,96.5706405639648,9803.0,8.13016,116.03929901123,
ABW,2014,99.29199,0.0779099985957146,7.0,110.9882,11.45069,,,101.180557250977,9816.0,7.34515,117.108093261719,99.23471
ABW,2015,,,,,,,,,,,,
ABW,2016,,,,,,,,,,,,
ABW,2017,,,,,,,,,,,,
ABW,2018,,,,,,,,,,,,
ABW,2019,,,,,,,,,,,,
ABW,2020,,,,,,,,,,,,
AFE,2000,,,,,,,,,,,,
AFE,2001,,,,,,,,,,,,
AFE,2002,,,,,,,,,,,,
AFE,2003,,,,,,,,,,,,
AFE,2004,,,,,,,,,,,,
AFE,2005,,,,,,,,,,,,
AFE,2006,,,,,,,,,,,,
AFE,2007,,,,,,,,,,,,
